Id,Building Class,Zoning Classification,Lot Frontage Length,Lot Area Square Feet,Road Type,Alley Access,Lot Shape,Land Contour,Utility Availability,Lot Configuration,Land Slope,Neighborhood Name,Primary Proximity Condition,Secondary Proximity Condition,Building Type,House Style,Overall Material Quality,Overall Condition Rating,Construction Year,Remodel Year,Roof Style,Roof Material,Primary Exterior Material,Secondary Exterior Material,Masonry Veneer Type,Masonry Veneer Area,Exterior Quality,Exterior Condition,Foundation Type,Basement Height Quality,Basement Condition,Basement Exposure Level,Basement Finish Type One,Basement Finished Area One,Basement Finish Type Two,Basement Finished Area Two,Basement Unfinished Area,Total Basement Area,Heating System,Heating Quality,Central Air Conditioning,Electrical System,First Floor Area,Second Floor Area,Low Quality Finished Area,Above Ground Living Area,Basement Full Bathrooms,Basement Half Bathrooms,Full Bathrooms,Half Bathrooms,Bedrooms Above Ground,Kitchens Above Ground,Kitchen Quality,Total Rooms Above Ground,Home Functionality,Number of Fireplaces,Fireplace Quality,Garage Type,Garage Construction Year,Garage Finish Level,Garage Capacity Cars,Garage Area Square Feet,Garage Quality,Garage Condition,Driveway Paving,Wood Deck Area,Open Porch Area,Enclosed Porch Area,Three Season Porch Area,Screen Porch Area,Pool Area,Pool Quality,Fence Type,Miscellaneous Feature,Miscellaneous Value,Month Sold,Year Sold,Sale Type,Sale Condition,House Sale Price
11,20,Residential Low Density,70.0,11200,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,5,5,1965,1965,Hip,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,906,Unfinished,0,134,1040,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,0,3,1,Typical Average,5,Typical Functionality,0,,Detached from home,1965.0,Unfinished,1,384,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,,0,2,2008,Warranty Deed - Conventional,Normal Sale,129500
12,60,Residential Low Density,85.0,11924,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,Two story,9,5,2005,2006,Hip,Standard Composite Shingle,WdShing,Wd Shng,Stone,286.0,Excellent,Typical Average,Poured Concrete,Excellent,Typical Average,No Exposure,Good Living Quarters,998,Unfinished,0,177,1175,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Good,Built-In (part of house),2005.0,Finished,3,736,Typical Average,Typical Average,Yes,147,21,0,0,0,0,,,,0,7,2006,Home just constructed and sold,Partial Sale,345000
13,20,Residential Low Density,,12968,Paved Road,,Moderately Irregular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,5,6,1962,1962,Hip,Standard Composite Shingle,Hardboard Siding,Plywood,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,737,Unfinished,0,175,912,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,912,0,0,912,1,0,1,0,2,1,Typical Average,4,Typical Functionality,0,,Detached from home,1962.0,Unfinished,1,352,Typical Average,Typical Average,Yes,140,0,0,0,176,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,144000
14,20,Residential Low Density,91.0,10652,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,One story,7,5,2006,2007,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,306.0,Good,Typical Average,Poured Concrete,Good,Typical Average,Average Exposure,Unfinished,0,Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2006.0,Rough Finished,3,840,Typical Average,Typical Average,Yes,160,33,0,0,0,0,,,,0,8,2007,Home just constructed and sold,Partial Sale,279500
15,20,Residential Low Density,,10920,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,5,1960,1960,Hip,Standard Composite Shingle,Metal Siding,Metal Siding,Brick Face,212.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Below Average Living Quarters,733,Unfinished,0,520,1253,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1253,0,0,1253,1,0,1,1,2,1,Typical Average,5,Typical Functionality,1,Fair,Attached to home,1960.0,Rough Finished,1,352,Typical Average,Typical Average,Yes,0,213,176,0,0,0,,Good Wood,,0,5,2008,Warranty Deed - Conventional,Normal Sale,157000
16,45,Residential Medium Density,51.0,6120,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Brookside,Normal,Normal,Single Family Detached,One and one-half story: 2nd level unfinished,7,8,1929,2001,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP (Average),854,0,0,854,0,0,1,0,2,1,Typical Average,5,Typical Functionality,0,,Detached from home,1991.0,Unfinished,2,576,Typical Average,Typical Average,Yes,48,112,0,0,0,0,,Good Privacy,,0,7,2007,Warranty Deed - Conventional,Normal Sale,132000
17,20,Residential Low Density,,11241,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,6,7,1970,1970,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,Brick Face,180.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Living Quarters,578,Unfinished,0,426,1004,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1004,0,0,1004,1,0,1,0,2,1,Typical Average,5,Typical Functionality,1,Typical Average,Attached to home,1970.0,Finished,2,480,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,Shed (over 100 SF),700,3,2010,Warranty Deed - Conventional,Normal Sale,149000
18,90,Residential Low Density,72.0,10791,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Duplex House,One story,4,5,1967,1967,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Slab,,,,,0,,0,0,0,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1296,0,0,1296,0,0,2,0,2,2,Typical Average,6,Typical Functionality,0,,Car Port,1967.0,Unfinished,2,516,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,,Shed (over 100 SF),500,10,2006,Warranty Deed - Conventional,Normal Sale,90000
19,20,Residential Low Density,66.0,13695,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer West,Adjacent to East-West Railroad,Normal,Single Family Detached,One story,5,5,2004,2004,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Typical Average,No Exposure,Good Living Quarters,646,Unfinished,0,468,1114,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,,Detached from home,2004.0,Unfinished,2,576,Typical Average,Typical Average,Yes,0,102,0,0,0,0,,,,0,6,2008,Warranty Deed - Conventional,Normal Sale,159000
20,20,Residential Low Density,70.0,7560,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,6,1958,1965,Hip,Standard Composite Shingle,Brick Face,Plywood,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Low Quality,504,Unfinished,0,525,1029,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1339,0,0,1339,0,0,1,0,3,1,Typical Average,6,Minor Deductions One,0,,Attached to home,1958.0,Unfinished,1,294,Typical Average,Typical Average,Yes,0,0,0,0,0,0,,Minimum Privacy,,0,5,2009,Court Officer Deed/Estate,Abnormal Sale,139000
21,60,Residential Low Density,101.0,14215,Paved Road,,Slightly Irregular,Level,All Public Utilities,Corner,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,Two story,8,5,2005,2006,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,380.0,Good,Typical Average,Poured Concrete,Excellent,Typical Average,Average Exposure,Unfinished,0,Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good,Built-In (part of house),2005.0,Rough Finished,3,853,Typical Average,Typical Average,Yes,240,154,0,0,0,0,,,,0,11,2006,Home just constructed and sold,Partial Sale,325300
22,45,Residential Medium Density,57.0,7449,Paved Road,Gravel Road,Regular,Banked,All Public Utilities,Inside,Gentle Slope,Iowa DOT and Rail Road,Normal,Normal,Single Family Detached,One and one-half story: 2nd level unfinished,7,7,1930,1950,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Poured Concrete,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Yes,60 AMP Fuse Box (Fair),1108,0,0,1108,0,0,1,0,3,1,Good,6,Typical Functionality,1,Good,Attached to home,1930.0,Unfinished,1,280,Typical Average,Typical Average,No,0,0,205,0,0,0,,Good Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,139400
23,20,Residential Low Density,75.0,9742,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,One story,8,5,2002,2002,Hip,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Brick Face,281.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2002.0,Rough Finished,2,534,Typical Average,Typical Average,Yes,171,159,0,0,0,0,,,,0,9,2008,Warranty Deed - Conventional,Normal Sale,230000
24,120,Residential Medium Density,44.0,4224,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Meadow Village,Normal,Normal,Townhouse End Unit,One story,5,7,1976,1976,Gable,Standard Composite Shingle,CemntBd,CmentBd,,0.0,Typical Average,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Good Living Quarters,840,Unfinished,0,200,1040,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Typical Average,6,Typical Functionality,1,Typical Average,Attached to home,1976.0,Unfinished,2,572,Typical Average,Typical Average,Yes,100,110,0,0,0,0,,,,0,6,2007,Warranty Deed - Conventional,Normal Sale,129900
25,20,Residential Low Density,,8246,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,5,8,1968,2001,Gable,Standard Composite Shingle,Plywood,Plywood,,0.0,Typical Average,Good,Cinder Block,Typical Average,Typical Average,Minimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Typical Average,Attached to home,1968.0,Unfinished,1,270,Typical Average,Typical Average,Yes,406,90,0,0,0,0,,Minimum Privacy,,0,5,2010,Warranty Deed - Conventional,Normal Sale,154000
26,20,Residential Low Density,110.0,14230,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,One story,8,5,2007,2007,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,640.0,Good,Typical Average,Poured Concrete,Good,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2007.0,Rough Finished,3,890,Typical Average,Typical Average,Yes,0,56,0,0,0,0,,,,0,7,2009,Warranty Deed - Conventional,Normal Sale,256300
27,20,Residential Low Density,60.0,7200,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,7,1951,2000,Gable,Standard Composite Shingle,Wood Siding,Wood Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Minimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,900,0,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,,Detached from home,2005.0,Unfinished,2,576,Typical Average,Typical Average,Yes,222,32,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,134800
28,20,Residential Low Density,98.0,11478,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Single Family Detached,One story,8,5,2007,2008,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,Stone,200.0,Good,Typical Average,Poured Concrete,Excellent,Typical Average,No Exposure,Good Living Quarters,1218,Unfinished,0,486,1704,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good,Attached to home,2008.0,Rough Finished,3,772,Typical Average,Typical Average,Yes,0,50,0,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,306000
29,20,Residential Low Density,47.0,16321,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,6,1957,1997,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,Good,Below Average Living Quarters,1277,Unfinished,0,207,1484,Gas forced warm air furnace,Typical Average,Yes,Standard Circuit Breakers & Romex,1600,0,0,1600,1,0,1,0,2,1,Typical Average,6,Typical Functionality,2,Good,Attached to home,1957.0,Rough Finished,1,319,Typical Average,Typical Average,Yes,288,258,0,0,0,0,,,,0,12,2006,Warranty Deed - Conventional,Normal Sale,207500
30,30,Residential Medium Density,60.0,6324,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,Brookside,Adjacent to feeder street,Within 200 feet of North-South Railroad,Single Family Detached,One story,4,6,1927,1950,Gable,Standard Composite Shingle,Metal Siding,Metal Siding,,0.0,Typical Average,Typical Average,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,520,520,Gas forced warm air furnace,Fair,No,Standard Circuit Breakers & Romex,520,0,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,,Detached from home,1920.0,Unfinished,1,240,Fair,Typical Average,Yes,49,0,87,0,0,0,,,,0,5,2008,Warranty Deed - Conventional,Normal Sale,68500
31,70,Commercial,50.0,8500,Paved Road,Paved Road,Regular,Level,All Public Utilities,Inside,Gentle Slope,Iowa DOT and Rail Road,Adjacent to feeder street,Normal,Single Family Detached,Two story,4,4,1920,1950,Gambrel,Standard Composite Shingle,Brick Face,Brick Face,,0.0,Typical Average,Fair,Brick Tile,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,649,649,Gas forced warm air furnace,Typical Average,No,Standard Circuit Breakers & Romex,649,668,0,1317,0,0,1,0,3,1,Typical Average,6,Typical Functionality,0,,Detached from home,1920.0,Unfinished,1,250,Typical Average,Fair,No,0,54,172,0,0,0,,Minimum Privacy,,0,7,2008,Warranty Deed - Conventional,Normal Sale,40000
32,20,Residential Low Density,,8544,Paved Road,,Slightly Irregular,Level,All Public Utilities,CulDSac,Gentle Slope,Sawyer,Normal,Normal,Single Family Detached,One story,5,6,1966,2006,Gable,Standard Composite Shingle,Hardboard Siding,Hardboard Siding,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Unfinished,0,Unfinished,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,,Attached to home,1966.0,Unfinished,1,271,Typical Average,Typical Average,Yes,0,65,0,0,0,0,,Minimum Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,149350
33,20,Residential Low Density,85.0,11049,Paved Road,,Regular,Level,All Public Utilities,Corner,Gentle Slope,College Creek,Normal,Normal,Single Family Detached,One story,8,5,2007,2007,Gable,Standard Composite Shingle,Vinyl Siding,Vinyl Siding,,0.0,Good,Typical Average,Poured Concrete,Excellent,Typical Average,Average Exposure,Unfinished,0,Unfinished,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1234,0,0,1234,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2007.0,Rough Finished,2,484,Typical Average,Typical Average,Yes,0,30,0,0,0,0,,,,0,1,2008,Warranty Deed - Conventional,Normal Sale,179900
34,20,Residential Low Density,70.0,10552,Paved Road,,Slightly Irregular,Level,All Public Utilities,Inside,Gentle Slope,North Ames,Normal,Normal,Single Family Detached,One story,5,5,1959,1959,Hip,Standard Composite Shingle,Brick Face,Brick Face,,0.0,Typical Average,Typical Average,Cinder Block,Typical Average,Typical Average,No Exposure,Average Rec Room,1018,Unfinished,0,380,1398,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1700,0,0,1700,0,1,1,1,4,1,Good,6,Typical Functionality,1,Good,Attached to home,1959.0,Rough Finished,2,447,Typical Average,Typical Average,Yes,0,38,0,0,0,0,,,,0,4,2010,Warranty Deed - Conventional,Normal Sale,165500
35,120,Residential Low Density,60.0,7313,Paved Road,,Regular,Level,All Public Utilities,Inside,Gentle Slope,Northridge Heights,Normal,Normal,Townhouse End Unit,One story,9,5,2005,2005,Hip,Standard Composite Shingle,Metal Siding,Metal Siding,Brick Face,246.0,Excellent,Typical Average,Poured Concrete,Excellent,Typical Average,No Exposure,Good Living Quarters,1153,Unfinished,0,408,1561,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1561,0,0,1561,1,0,2,0,2,1,Excellent,6,Typical Functionality,1,Good,Attached to home,2005.0,Finished,2,556,Typical Average,Typical Average,Yes,203,47,0,0,0,0,,,,0,8,2007,Warranty Deed - Conventional,Normal Sale,277500
